Model Name,MMLU
gpt-35-turbo,70.0
gpt-4o-mini,82.0
gpt-4o,88.7
claude-3-5-sonnet,89.3
grok-2-1212,87.5
llama-2-7b,31.0
llama-2-7b-instruct,46.4
llama-2-13b,40.6
llama-2-13b-instruct,53.3
llama-2-70b,56.2
llama-2-70b-instruct,61.1
llama-32-1b,37.6
llama-32-1b-instruct,46.1
llama-32-3b,54.4
llama-32-3b-instruct,60.6
llama-31-8b,63.5
llama-31-8b-instruct,68.1
llama-31-70b,79.3
llama-31-70b-instruct,83.6
llama-33-70b-instruct,86.0
llama-31-405b-fp8,85.2
llama-31-405b-instruct-fp8,87.3
qwen25-05b,47.7
qwen25-05b-instruct,45.8
qwen25-15b,59.7
qwen25-15b-instruct,60.2
qwen25-3b,65.2
qwen25-3b-instruct,65.5
qwen25-7b,71.9
qwen25-7b-instruct,71.7
qwen25-14b,77.6
qwen25-14b-instruct,78.9
qwen25-32b,80.9
qwen25-32b-instruct,81.7
qwq-32b-preview,80.8
qwen25-72b,86.1
qwen25-72b-instruct,85.3
gemma-2-2b,49.6
gemma-2-2b-it,56.9
gemma-2-9b,69.1
gemma-2-9b-it,71.3
gemma-2-27b,22.9
gemma-2-27b-it,75.2
olmo-7b,28.5
olmo-2-1124-7b-instruct,59.2
olmo-2-1124-13b-instruct,64.5
deepseek-v2,78.4
deepseek-v25,80.6
deepseek-v3,87.1
phi-3-mini-4k-instruct,70.1
phi-3-small-8k-instruct,74.7
phi-3-medium-4k-instruct,76.3
phi-35-mini-instruct,68.7
phi-4,77.1
qwen15-05b,38.5
qwen15-05b-instruct,30.2
qwen15-18b,45.7
qwen15-18b-instruct,46.1
qwen15-4b,55.2
qwen15-4b-instruct,53.8
qwen15-7b,60.5
qwen15-7b-instruct,60.1
qwen15-14b,67.8
qwen15-14b-instruct,66.3
qwen15-32b,73.6
qwen15-32b-instruct,73.4
qwen15-72b,77.1
qwen15-72b-instruct,75.6
qwen15-110b,78.3
qwen15-110b-instruct,76.5